faction_id	faction_name	base_standing
524	Abhorrent	0
1059	Agents of Dreadspire	0
426	Agents of Mistmoore	0
1671	Agents of the Pillars	0
1740	Agents of the Synarcana	0
421	Aggressors of Kithicor	0
1621	Agnarr	0
396	Agnostic	0
541	Air Elemental (Race)	0
622	Air Mephit	0
1521	Akheva	0
561	Akheva (Race Type)	0
357	Akhevan (Plane of Shadow)	0
1190	Ak`Anon Strike Force V	0
141	Alligator	0
218	Allize Taeew	0
217	Allize Volew	0
149	Amygdalan	0
1193	Ancestors of the Crypt	0
1101	Ancestors of Valdeholm	0
1598	Anchorites of Brell Serilis	0
1228	Ancient Blackburrow Gnolls	0
1004	Animals of Taelosia	0
654	Animated Armor	0
417	Ankhefenmut	0
1572	Anti Vinitras	0
5001	Anti-mage	0
219	Antonius Bayle	0
1803	Apparitions of Fear	0
657	Arachnid - PoP	0
1622	Arboreans of the Faydark	0
220	Arcane Scientists	0
1793	Arcanists of Alra	0
1754	Architects of Sand	0
1777	Argathian Looters	0
137	Armadillo	0
1204	Army of Light 	0
361	Ashen Order	0
1609	Askr the Lost	0
1062	Assistants of the Scribe	0
5051	Asylum of Anguish	-2000
63	Aviak	-350
526	BandWdragons	0
5002	Banker	0
52	Barbarian	0
8	Bard	0
660	Bastion of Thunder Portal (Race)	0
1656	Battalion of Marr	-400
1200	Bayle's Irregulars	0
93	Bear	0
636	Bear PoP	0
15	Beastlord	0
1804	Beetles of Shard's Landing	0
387	Befallen Inhabitants	0
16	Berserker	0
201	Bertoxxulous	-700
483	Bertoxxulous (Race)	0
586	Bertoxxulous Race	0
1183	Bertoxxulous' Chosen	0
681	Beta Ally	0
684	Beta Amiable	0
685	Beta Apprehensive	0
686	Beta Dubious	0
1171	Beta Enemy	0
477	Beta Evil	0
1172	Beta Friend	0
476	Beta Good	0
683	Beta Kindly	0
479	Beta KOS	0
701	Beta KOS Copy 1	0
702	Beta KOS Copy 2	0
703	Beta KOS Copy 3	0
704	Beta KOS Copy 4	0
705	Beta KOS Copy 5	0
706	Beta KOS Copy 6	0
707	Beta KOS Copy 7	0
708	Beta KOS Copy 8	0
85	Beta KOS Copy 9	0
344	Beta Neutral	0
1173	Beta Neutral 2	0
687	Beta Threatening	0
682	Beta Warmly	0
478	Beta Warmly	0
1061	BetaNPCKOS-NPC	0
1043	BetaNPCKOS-PC	0
1014	BetaOmensNPCKOS	-1500
1728	Betrayers of Di`Zok	0
129	Bixie	0
653	Black Knight	0
1202	Blackburrow Gnolls	0
1098	Blackfeather Animals	0
1096	Blackfeather Harpies	0
1112	Blackfeather Raiders	0
1097	Blackfeather Royalty	0
1099	Blackfeather Spiders	0
1142	Blacksail Pirates	0
1169	Blacksail Smugglers	0
1179	Blackwater	0
1076	Blood Furies	0
1092	Blood of Ro	0
1176	Blood of Solusek	0
610	Blood Raven	0
1680	Bloodfeather Aviaks	0
256	Bloodgills	0
1873	Bloodmoon Night-Orcs	0
1195	Bloodmoon Were-Orcs	0
221	Bloodsabers	0
191	Boat	0
1079	Bonecracker Furies	0
339	Bonethrowers	0
1868	Brass Phoenix Brigade	0
1870	Brass Phoenix Legion	0
1809	Braxi of Shard's Landing	0
202	Brell Serilis	0
484	Bristlebane (Race)	0
605	Broken Clockwork	0
222	Broken Skull Clan	0
500	Brontotherium	0
451	Brood of Di`Zok	0
443	Brood of Kotiz	0
1535	Brood of Ssraeshza	0
1163	Brood of Vaakiszh	0
1245	Brother Island Animal	0
1244	Brother Island Residents	0
691	Brownie (Race)	0
1189	Brownie Rebels	0
65	Brownies of Faydwer	0
599	Bubonian Boss	0
600	Bubonian Underling	0
1630	Burning Dead	0
194	Burynai	0
253	Burynai Legion	0
379	Butcherblock Bandits	0
440	Cabilis Residents	0
498	Cactus Man	0
1184	Camp Valor	0
1588	Captain Cruikshanks	0
1592	Captain Dorian Dulein	0
1591	Captain Smythe	0
1590	Captain Stottal	0
1175	Captains of Dyn`leth	0
329	Carson McCabe	0
711	Castle Rulnavis	0
712	Castle Tamrel	0
203	Cazic-Thule	0
145	Cazic-Thule (Race)	0
66	Centaur	0
462	Chetari	0
1010	Children of Dranik	0
1018	Children of Mistmoore	0
1129	Circle of the Crystalwing	0
223	Circle of Unseen Hands	0
1222	Cirtan, Bayle's Herald	0
1778	Citizens of Arelis	0
1775	Citizens of Argath	0
1798	Citizens of Erillion	0
1063	Citizens of Freeport	0
460	Citizens of Froststone	0
1719	Citizens of Gukta	0
1783	Citizens of Sarith	0
1499	Citizens of Seru	0
1584	Citizens of Shar Vahl	0
1750	Citizens of Takish-Hiz	0
1085	Citizens of Takish-Hiz	0
453	Citizens of Torsis	0
1727	City Vermin	0
165	Clam	0
224	Clan Drippycan	0
1858	Clan Droga	0
1604	Clan Grikbar	-1000
471	Clan Kolbok	0
225	Clan Runnyeye	0
1088	Clan Vorzek	0
31	Class31	0
33	Class33	0
34	Class34	0
35	Class35	0
36	Class36	0
37	Class37	0
38	Class38	0
39	Class39	0
40	Class40	0
41	Class41	0
42	Class42	0
43	Class43	0
44	Class44	0
45	Class45	0
46	Class46	0
47	Class47	0
48	Class48	0
49	Class49	0
50	Class50	0
430	Claws of Veeshan	0
67	Clay Golem	0
5021	Cleaving Tooth Clan	-700
2	Cleric	0
1711	Clerics of Gutka	0
226	Clerics of Tunare	0
227	Clerics of Underfoot	0
1237	Cliknar	0
607	Clockwork Beetle	0
580	Clockwork Brain	0
523	Clockwork Dragon	0
695	Clockwork Gnome (Race)	0
579	Clockwork Golem	0
1239	Clockwork Magma Meter	0
138	Clockworks of Ak`Anon	0
228	Clurg	0
229	Coalition of Tradefolk	0
5015	Coalition of TradeFolk III	0
336	Coalition of Tradefolk Underground	0
146	Cockatrice	0
505	Cold Spectre	0
406	Coldain	0
514	Coldain (Race)	0
1120	Coldeye Clan	0
1161	Combine Citizens	0
268	Combine Empire	0
1170	Combine Empire Merchants	0
346	Commons Residents	0
1869	Company of the Alabaster Owl	0
1561	Concilium Universus	0
1067	Constructs of Relic	0
1867	Contingent of the Alabaster Owl	0
1102	Converts of Valdeholm	0
358	Corrupt Akhevan	0
230	Corrupt Qeynos Guards	0
1525	Coterie Elite	0
1506	Coterie of the Eternal Night	0
633	Crab	0
231	Craftkeepers	0
232	Craknek Warriors	0
1060	Creatures of Darkhollow	0
1087	Creatures of Elddar	0
1002	Creatures of Gloomingdeep	0
1705	Creatures of Gunthak	0
1628	Creatures of Justice	0
1015	Creatures of Kuua	0
1091	Creatures of Sandflow	0
1769	Creatures of Taelosia	-500
1051	Creep Reapers	0
5049	Crescent Guards	0
1137	Crescent Reach Guards	0
1708	Crew of the Scorned Maiden	0
233	Crimson Hands	0
1602	Critters of Jaggedpine	0
590	Crocodile	0
1095	Crusade of the Scale	0
442	Crusaders of Greenmist	0
1188	Crusaders of Veeshan	0
234	Crushbone Orcs	0
1825	Crystal Circle Builders	0
461	Crystal Denizens	0
658	Crystal Spider (Race)	0
400	Cult of Fear	0
1594	Cult of the Arisen	0
1583	Cult of the Great Saprophyte	0
1035	Cursed Drakes	0
1704	Cursed Frogloks of Gukta	0
68	Cyclops	-1000
235	DaBashers	0
405	Dain Frostreaver IV	0
1851	Damsel of Decay's Denizens	0
1533	Dar Khura	0
236	Dark Bargainers	0
56	Dark Elf	0
670	Dark Elf Pirate	0
1515	Dark Forest Denizens	0
237	Dark Ones	0
238	Dark Reflection	0
1021	Dark Reign	0
1557	Dark Sendings	-501
1118	Darkfell Clan	0
1219	Darkhammer Dwarves	0
1203	Darkpaw Gnolls	0
1599	Darkpaws of Jaggedpine	0
1196	Darkvine Villagers	0
5055	Dark_Reign_Guard	-100
1564	Dawnhoppers	0
1677	Dead Hills Archaeologists	0
5024	Death Fist Orcs	-1000
375	Death Fist Orcs (good)	0
1075	Deathshed Legion	0
1049	Deep Sporali	0
240	Deepmuses	0
241	Deeppockets	0
1568	Deepshade Collective	0
242	Deepwater Knights	0
1517	Deepwood Owlbears	0
385	Defective Clockwork	-350
1830	Defenders of Decay	0
422	Defenders of Kithicor	0
359	Defenders of Luclin	0
1042	Defenders of the Broodlands	0
5003	Defenders of the Haven	-100
1242	Degmar's Commoners	0
1243	Degmar's Haunts	0
1241	Degmar's Loyalists	0
1569	Deklean Korgad	0
1578	Deklean Korgad	0
95	Demi Lich (Race)	0
1009	Denizens of Discord	-1000
5004	Denizens of Fear	-1000
1648	Denizens of Fire	0
437	Denizens of Mischief	0
1658	Denizens of Storm	0
1862	Denizens of Veeshan's Peak	0
1632	Denizens of Water	0
150	Dervish	0
368	Dervish Cutthroats	-100
1788	Devotees of Decay	0
490	Devourer	0
1784	Devout of Oseka	0
147	Diasy Men	0
502	Dire Wolf	0
1093	Direwind Gnolls	0
1039	Dirtdigger Goblins	-1000
1057	Disciples of Jarzarrad	0
1623	Disciples of Kerafyrm	0
1799	Disciples of Order	0
1562	Disciples of Rhag`Zadune	0
1162	Disciples of Zhisza	0
1208	Discordant Agents	0
1230	Discordant Armies	0
1210	Discordant Army	0
1008	Discordant Creatures of Kuua	0
584	Disease Boss	0
356	Diseased Animal	0
271	Dismal Rage	0
393	Djinn	0
176	Djinn (Race)	0
1782	Dominion of Beasts	0
367	Donovon	0
1838	Doomscale Cultists	0
107	Drachnid (Race)	0
243	Drafling	0
182	Draglok Invalid Race	0
1802	Dragon Death Keep	0
172	Dragon Skeleton	0
1209	Dragorn Forces	0
139	Drake	0
1106	Drakkin	0
1016	Dranik Loyalists	0
370	Dreadguard Inner	0
334	Dreadguard Outer	0
680	Dream Delvers	0
163	Drixie	0
1579	Droga Goblins	0
679	Drogmor (Race)	0
1113	Dromrek	0
1123	Drones of Stonehive	0
1140	Drowned Dead	0
6	Druid	0
454	Drusella Sathir	0
574	Dryad	0
1603	Dryads of the Grove	0
5052	dubious	-300
5053	dubious-storms	-300
5030	Dulaks Clan	-1000
58	Dwarf	0
1635	Dwellers of the Deep	0
1131	Dyn`leth	0
540	Earth Elemental (Race)	0
623	Earth Mephit	0
244	Ebon Mask	0
151	Efreeti	0
651	Efreeti PoP	0
1664	Eino	0
1066	Elder Scrykin	0
245	Eldritch Collective	0
125	Elemental	0
1019	Elemental Invaders	0
148	Elf Vampire	0
326	Emerald Warriors	0
1187	Emissaries of Claws of Veeshan	0
1536	Emperor Ssraeshza	-1000
1854	Empire of the Di`Zok	0
506	Enchanted Armor	0
14	Enchanter	0
1852	Enemies of Tranquility	0
1673	Enemies of Zordak Ragefire	0
1641	Eriak	0
204	Erollisi Marr	0
200	Erollisi Marr (Race)	0
1182	Erollisi's Scorned	0
128	Erudin Citizens	0
53	Erudite	0
694	Erudite Citizen (Race)	0
168	Erudite Ghost	0
673	Erudite Pirate	0
1844	Ethernere Revenants	0
1845	Ethernere Spirits	0
71	Evil Eye	-1000
575	Evil Treant	0
1722	Exiled Frogloks	0
1050	Expedition 328	0
1485	Eye of Seru	0
158	Eye of Zomm	0
1247	Faction1247	0
1248	Faction1248	0
1249	Faction1249	0
1250	Faction1250	0
1251	Faction1251	0
1252	Faction1252	0
1253	Faction1253	0
1254	Faction1254	0
1255	Faction1255	0
1256	Faction1256	0
1257	Faction1257	0
1258	Faction1258	0
1259	Faction1259	0
1260	Faction1260	0
1261	Faction1261	0
1262	Faction1262	0
1263	Faction1263	0
1264	Faction1264	0
1265	Faction1265	0
1266	Faction1266	0
1267	Faction1267	0
1268	Faction1268	0
1269	Faction1269	0
1270	Faction1270	0
1271	Faction1271	0
1272	Faction1272	0
1273	Faction1273	0
1274	Faction1274	0
1275	Faction1275	0
1276	Faction1276	0
1277	Faction1277	0
1278	Faction1278	0
1279	Faction1279	0
1280	Faction1280	0
1281	Faction1281	0
1282	Faction1282	0
1283	Faction1283	0
1284	Faction1284	0
1285	Faction1285	0
1286	Faction1286	0
1287	Faction1287	0
1288	Faction1288	0
1289	Faction1289	0
1290	Faction1290	0
1291	Faction1291	0
1292	Faction1292	0
1293	Faction1293	0
1294	Faction1294	0
1295	Faction1295	0
1296	Faction1296	0
1297	Faction1297	0
1298	Faction1298	0
1299	Faction1299	0
1300	Faction1300	0
1301	Faction1301	0
1302	Faction1302	0
1303	Faction1303	0
1304	Faction1304	0
1305	Faction1305	0
1306	Faction1306	0
1307	Faction1307	0
1308	Faction1308	0
1309	Faction1309	0
1310	Faction1310	0
1311	Faction1311	0
1312	Faction1312	0
1313	Faction1313	0
1314	Faction1314	0
1315	Faction1315	0
1316	Faction1316	0
1317	Faction1317	0
1318	Faction1318	0
1319	Faction1319	0
1320	Faction1320	0
1321	Faction1321	0
1322	Faction1322	0
1323	Faction1323	0
1324	Faction1324	0
1325	Faction1325	0
1326	Faction1326	0
1327	Faction1327	0
1328	Faction1328	0
1329	Faction1329	0
1330	Faction1330	0
1331	Faction1331	0
1332	Faction1332	0
1333	Faction1333	0
1334	Faction1334	0
1335	Faction1335	0
1336	Faction1336	0
1337	Faction1337	0
1338	Faction1338	0
1339	Faction1339	0
1340	Faction1340	0
1341	Faction1341	0
1342	Faction1342	0
1343	Faction1343	0
1344	Faction1344	0
1345	Faction1345	0
1346	Faction1346	0
1347	Faction1347	0
1348	Faction1348	0
1349	Faction1349	0
1350	Faction1350	0
1351	Faction1351	0
1352	Faction1352	0
1353	Faction1353	0
1354	Faction1354	0
1355	Faction1355	0
1356	Faction1356	0
1357	Faction1357	0
1358	Faction1358	0
1359	Faction1359	0
1360	Faction1360	0
1361	Faction1361	0
1362	Faction1362	0
1363	Faction1363	0
1364	Faction1364	0
1365	Faction1365	0
1366	Faction1366	0
1367	Faction1367	0
1368	Faction1368	0
1369	Faction1369	0
1370	Faction1370	0
1371	Faction1371	0
1372	Faction1372	0
1373	Faction1373	0
1374	Faction1374	0
1375	Faction1375	0
1376	Faction1376	0
1377	Faction1377	0
1378	Faction1378	0
1379	Faction1379	0
1380	Faction1380	0
1381	Faction1381	0
1382	Faction1382	0
1383	Faction1383	0
1384	Faction1384	0
1385	Faction1385	0
1386	Faction1386	0
1387	Faction1387	0
1388	Faction1388	0
1389	Faction1389	0
1390	Faction1390	0
1391	Faction1391	0
1392	Faction1392	0
1393	Faction1393	0
1394	Faction1394	0
1395	Faction1395	0
1396	Faction1396	0
1397	Faction1397	0
1398	Faction1398	0
1399	Faction1399	0
1400	Faction1400	0
1401	Faction1401	0
1402	Faction1402	0
1403	Faction1403	0
1404	Faction1404	0
1405	Faction1405	0
1406	Faction1406	0
1407	Faction1407	0
1408	Faction1408	0
1409	Faction1409	0
1410	Faction1410	0
1411	Faction1411	0
1412	Faction1412	0
1413	Faction1413	0
1414	Faction1414	0
1415	Faction1415	0
1416	Faction1416	0
1417	Faction1417	0
1418	Faction1418	0
1419	Faction1419	0
1420	Faction1420	0
1421	Faction1421	0
1422	Faction1422	0
1423	Faction1423	0
1424	Faction1424	0
1425	Faction1425	0
1426	Faction1426	0
1427	Faction1427	0
1428	Faction1428	0
1429	Faction1429	0
1430	Faction1430	0
1431	Faction1431	0
1432	Faction1432	0
1433	Faction1433	0
1434	Faction1434	0
1435	Faction1435	0
1436	Faction1436	0
1437	Faction1437	0
1438	Faction1438	0
1439	Faction1439	0
1440	Faction1440	0
1441	Faction1441	0
1442	Faction1442	0
1443	Faction1443	0
1444	Faction1444	0
1445	Faction1445	0
1446	Faction1446	0
1447	Faction1447	0
1448	Faction1448	0
1449	Faction1449	0
1450	Faction1450	0
1451	Faction1451	0
1452	Faction1452	0
1453	Faction1453	0
1454	Faction1454	0
1455	Faction1455	0
1456	Faction1456	0
1457	Faction1457	0
1458	Faction1458	0
1459	Faction1459	0
1460	Faction1460	0
1461	Faction1461	0
1462	Faction1462	0
1463	Faction1463	0
1464	Faction1464	0
1465	Faction1465	0
1466	Faction1466	0
1467	Faction1467	0
1468	Faction1468	0
1469	Faction1469	0
1470	Faction1470	0
1471	Faction1471	0
1472	Faction1472	0
1473	Faction1473	0
1474	Faction1474	0
1475	Faction1475	0
1476	Faction1476	0
1477	Faction1477	0
1478	Faction1478	0
1479	Faction1479	0
1480	Faction1480	0
1481	Faction1481	0
1482	Faction1482	0
1682	Faction1682	0
1683	Faction1683	0
1684	Faction1684	0
1685	Faction1685	0
1686	Faction1686	0
1687	Faction1687	0
1688	Faction1688	0
1689	Faction1689	0
1690	Faction1690	0
1691	Faction1691	0
1692	Faction1692	0
1693	Faction1693	0
1694	Faction1694	0
1695	Faction1695	0
1696	Faction1696	0
1697	Faction1697	0
1698	Faction1698	0
1699	Faction1699	0
1832	Faction1832	0
1833	Faction1833	0
1834	Faction1834	0
1874	Faction1874	0
1875	Faction1875	0
1876	Faction1876	0
1877	Faction1877	0
1878	Faction1878	0
1879	Faction1879	0
1880	Faction1880	0
1881	Faction1881	0
1882	Faction1882	0
1883	Faction1883	0
1884	Faction1884	0
1885	Faction1885	0
1886	Faction1886	0
1887	Faction1887	0
1888	Faction1888	0
1889	Faction1889	0
1890	Faction1890	0
1891	Faction1891	0
1892	Faction1892	0
1893	Faction1893	0
1894	Faction1894	0
1895	Faction1895	0
1896	Faction1896	0
1897	Faction1897	0
1898	Faction1898	0
1899	Faction1899	0
1900	Faction1900	0
1901	Faction1901	0
1902	Faction1902	0
1903	Faction1903	0
1904	Faction1904	0
1905	Faction1905	0
1906	Faction1906	0
1907	Faction1907	0
1908	Faction1908	0
1909	Faction1909	0
1910	Faction1910	0
1911	Faction1911	0
1912	Faction1912	0
1913	Faction1913	0
1914	Faction1914	0
1915	Faction1915	0
1916	Faction1916	0
1917	Faction1917	0
1918	Faction1918	0
1919	Faction1919	0
1920	Faction1920	0
1921	Faction1921	0
1922	Faction1922	0
1923	Faction1923	0
1924	Faction1924	0
1925	Faction1925	0
1926	Faction1926	0
1927	Faction1927	0
1928	Faction1928	0
1929	Faction1929	0
1930	Faction1930	0
1931	Faction1931	0
1932	Faction1932	0
1933	Faction1933	0
1934	Faction1934	0
1935	Faction1935	0
1936	Faction1936	0
1937	Faction1937	0
1938	Faction1938	0
1939	Faction1939	0
1940	Faction1940	0
1941	Faction1941	0
1942	Faction1942	0
1943	Faction1943	0
1944	Faction1944	0
1945	Faction1945	0
1946	Faction1946	0
1947	Faction1947	0
1948	Faction1948	0
1949	Faction1949	0
1950	Faction1950	0
1951	Faction1951	0
1952	Faction1952	0
1953	Faction1953	0
1954	Faction1954	0
1955	Faction1955	0
1956	Faction1956	0
1957	Faction1957	0
1958	Faction1958	0
1959	Faction1959	0
1960	Faction1960	0
1961	Faction1961	0
1962	Faction1962	0
1963	Faction1963	0
1964	Faction1964	0
1965	Faction1965	0
1966	Faction1966	0
1967	Faction1967	0
1968	Faction1968	0
1969	Faction1969	0
1970	Faction1970	0
1971	Faction1971	0
1972	Faction1972	0
1973	Faction1973	0
1974	Faction1974	0
1975	Faction1975	0
1976	Faction1976	0
1977	Faction1977	0
1978	Faction1978	0
1979	Faction1979	0
1980	Faction1980	0
1981	Faction1981	0
1982	Faction1982	0
1983	Faction1983	0
1984	Faction1984	0
1985	Faction1985	0
1986	Faction1986	0
1987	Faction1987	0
1988	Faction1988	0
1989	Faction1989	0
1990	Faction1990	0
1991	Faction1991	0
1992	Faction1992	0
1993	Faction1993	0
1994	Faction1994	0
1995	Faction1995	0
1996	Faction1996	0
1997	Faction1997	0
1998	Faction1998	0
1999	Faction1999	0
2000	Faction2000	0
2001	Faction2001	0
2002	Faction2002	0
2003	Faction2003	0
2004	Faction2004	0
2005	Faction2005	0
2006	Faction2006	0
2007	Faction2007	0
2008	Faction2008	0
2009	Faction2009	0
2010	Faction2010	0
2011	Faction2011	0
2012	Faction2012	0
2013	Faction2013	0
2014	Faction2014	0
2015	Faction2015	0
2016	Faction2016	0
2017	Faction2017	0
2018	Faction2018	0
2019	Faction2019	0
2020	Faction2020	0
2021	Faction2021	0
2022	Faction2022	0
2023	Faction2023	0
2024	Faction2024	0
2025	Faction2025	0
2026	Faction2026	0
2027	Faction2027	0
2028	Faction2028	0
2029	Faction2029	0
2030	Faction2030	0
2031	Faction2031	0
2032	Faction2032	0
2033	Faction2033	0
2034	Faction2034	0
2035	Faction2035	0
2036	Faction2036	0
2037	Faction2037	0
2038	Faction2038	0
2039	Faction2039	0
2040	Faction2040	0
2041	Faction2041	0
2042	Faction2042	0
2043	Faction2043	0
2044	Faction2044	0
2045	Faction2045	0
2046	Faction2046	0
2047	Faction2047	0
392	Faction392	0
408	Faction408	0
480	Faction480	0
481	Faction481	0
697	Faction697	0
698	Faction698	0
699	Faction699	0
722	Faction722	0
723	Faction723	0
724	Faction724	0
725	Faction725	0
726	Faction726	0
727	Faction727	0
728	Faction728	0
729	Faction729	0
730	Faction730	0
731	Faction731	0
732	Faction732	0
733	Faction733	0
734	Faction734	0
735	Faction735	0
736	Faction736	0
737	Faction737	0
738	Faction738	0
739	Faction739	0
740	Faction740	0
741	Faction741	0
742	Faction742	0
743	Faction743	0
744	Faction744	0
745	Faction745	0
746	Faction746	0
747	Faction747	0
748	Faction748	0
749	Faction749	0
750	Faction750	0
751	Faction751	0
752	Faction752	0
753	Faction753	0
754	Faction754	0
755	Faction755	0
756	Faction756	0
757	Faction757	0
758	Faction758	0
759	Faction759	0
760	Faction760	0
761	Faction761	0
762	Faction762	0
763	Faction763	0
764	Faction764	0
765	Faction765	0
766	Faction766	0
767	Faction767	0
768	Faction768	0
769	Faction769	0
770	Faction770	0
771	Faction771	0
772	Faction772	0
773	Faction773	0
774	Faction774	0
775	Faction775	0
776	Faction776	0
777	Faction777	0
778	Faction778	0
779	Faction779	0
780	Faction780	0
781	Faction781	0
782	Faction782	0
783	Faction783	0
784	Faction784	0
785	Faction785	0
786	Faction786	0
787	Faction787	0
788	Faction788	0
789	Faction789	0
790	Faction790	0
791	Faction791	0
792	Faction792	0
793	Faction793	0
794	Faction794	0
795	Faction795	0
796	Faction796	0
797	Faction797	0
798	Faction798	0
799	Faction799	0
800	Faction800	0
801	Faction801	0
802	Faction802	0
803	Faction803	0
804	Faction804	0
805	Faction805	0
806	Faction806	0
807	Faction807	0
808	Faction808	0
809	Faction809	0
810	Faction810	0
811	Faction811	0
812	Faction812	0
813	Faction813	0
814	Faction814	0
815	Faction815	0
816	Faction816	0
817	Faction817	0
818	Faction818	0
819	Faction819	0
820	Faction820	0
821	Faction821	0
822	Faction822	0
823	Faction823	0
824	Faction824	0
825	Faction825	0
826	Faction826	0
827	Faction827	0
828	Faction828	0
829	Faction829	0
830	Faction830	0
831	Faction831	0
832	Faction832	0
833	Faction833	0
834	Faction834	0
835	Faction835	0
836	Faction836	0
837	Faction837	0
838	Faction838	0
839	Faction839	0
840	Faction840	0
841	Faction841	0
842	Faction842	0
843	Faction843	0
844	Faction844	0
845	Faction845	0
846	Faction846	0
847	Faction847	0
848	Faction848	0
849	Faction849	0
850	Faction850	0
851	Faction851	0
852	Faction852	0
853	Faction853	0
854	Faction854	0
855	Faction855	0
856	Faction856	0
857	Faction857	0
858	Faction858	0
859	Faction859	0
860	Faction860	0
861	Faction861	0
862	Faction862	0
