zone	zone_name	expansion	spawngroupID	npcID	npc_name	race	class	level	npc_faction_id	primary_faction	bodytype	isquest	merchant_id
akanon	Ak'Anon	0	7181	55005	a_defective_cleaner	36	1	1	0	NULL	21	0	0
akanon	Ak'Anon	0	7176	55007	a_decaying_gnome_skeleton	367	1	1	1413	Dark Reflection	3	0	0
akanon	Ak'Anon	0	7169	55011	a_rock_snake	37	1	1	0	NULL	21	0	0
akanon	Ak'Anon	0	53	55225	obsolete_model	88	1	1	786	Defective Clockwork	1	0	0
akanon	Ak'Anon	0	5890	55174	obsolete_model	88	1	1	786	Defective Clockwork	1	0	0
akanon	Ak'Anon	0	110237	55336	a_Frostfell_Goblin	433	1	1	0	NULL	1	0	0
akanon	Ak'Anon	0	110254	55337	Hargar_the_Velium_Chef	8	1	1	0	NULL	1	0	0
akanon	Ak'Anon	0	110271	55338	Fireworks_Engineer_Fabdabus	12	1	1	0	NULL	1	0	0
akanon	Ak'Anon	0	7170	55012	a_rock_spider	38	1	2	0	NULL	22	0	0
akanon	Ak'Anon	0	53	55168	obsolete_model	36	1	2	786	Defective Clockwork	21	0	0
akanon	Ak'Anon	0	7139	55034	obsolete_model	88	1	3	786	Defective Clockwork	1	0	0
akanon	Ak'Anon	0	53	55160	obsolete_model	88	1	3	786	Defective Clockwork	1	0	0
akanon	Ak'Anon	0	53	55162	obsolete_model	36	1	3	786	Defective Clockwork	21	0	0
akanon	Ak'Anon	0	53	55224	Red_V	88	1	3	196	King Ak`Anon	1	0	0
akanon	Ak'Anon	0	7136	55035	clockwork_scrubber	36	1	4	1384	Clockworks of Ak`Anon	21	1	0
akanon	Ak'Anon	0	5905	55083	a_brown_bear	43	1	4	1060	King Ak`Anon	21	0	0
akanon	Ak'Anon	0	7171	55010	clockwork_scrubber	36	1	5	1384	Clockworks of Ak`Anon	21	1	0
akanon	Ak'Anon	0	53	55167	Red_V	88	1	5	196	King Ak`Anon	1	0	0
akanon	Ak'Anon	0	7182	55001	clockwork_scrubber	36	1	6	1384	Clockworks of Ak`Anon	21	1	0
akanon	Ak'Anon	0	5889	55161	Cleaner_X	36	1	6	196	King Ak`Anon	21	1	0
akanon	Ak'Anon	0	5889	55163	Duster_V	36	1	6	196	King Ak`Anon	21	1	0
akanon	Ak'Anon	0	7121	55202	Clockwork_XXIA	38	1	7	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7128	55190	Clockwork_XXIIIA	38	1	8	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	5906	55082	a_tiger	63	1	8	1060	King Ak`Anon	21	0	0
akanon	Ak'Anon	0	5889	55221	Scrubber_IV	36	1	8	196	King Ak`Anon	21	1	0
akanon	Ak'Anon	0	7121	55062	Clockwork_XXIA	38	1	9	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	5891	55183	clockwork_cleaner	36	1	9	196	King Ak`Anon	21	0	0
akanon	Ak'Anon	0	53529	55081	a_lesser_minotaur	53	1	9	19	Meldrath	1	0	0
akanon	Ak'Anon	0	5889	55000	Scrubber_IV	36	1	11	196	King Ak`Anon	21	1	0
akanon	Ak'Anon	0	7128	55044	Clockwork_XXIIIA	38	1	12	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	5891	55036	clockwork_cleaner	36	1	12	196	King Ak`Anon	21	0	0
akanon	Ak'Anon	0	7172	55009	clockwork_sweeper	36	1	15	1384	Clockworks of Ak`Anon	21	0	0
akanon	Ak'Anon	0	7174	55039	Clockwork_XVIIA	38	1	18	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7127	55191	Clockwork_XXA	38	1	19	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7120	55200	Clockwork_XXVA	38	1	19	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7178	55004	Clockwork_XIXA	38	1	20	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	24	55116	Drekon_Vebnebber	12	41	20	230	Gem Choppers	1	1	55116
akanon	Ak'Anon	0	52	55159	Gilipus	12	1	20	0	NULL	1	1	0
akanon	Ak'Anon	0	7179	55166	Clockwork_XIXA	38	1	21	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7120	55060	Clockwork_XXVA	38	1	21	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	5923	55205	Clockwork_XVA	38	1	21	196	King Ak`Anon	22	0	0
akanon	Ak'Anon	0	7178	55172	Clockwork_XIXA	38	1	22	196	King Ak`Anon	22	0	0
