zone	zone_name	npc_id	npc_name	race	class	level	faction_name	bodytype	class_name
akanon	Ak'Anon	55005	a_defective_cleaner	36	1	1	NULL	21	Warrior
akanon	Ak'Anon	55011	a_rock_snake	37	1	1	NULL	21	Warrior
akanon	Ak'Anon	55336	a_Frostfell_Goblin	433	1	1	NULL	1	Warrior
akanon	Ak'Anon	55337	Hargar_the_Velium_Chef	8	1	1	NULL	1	Warrior
akanon	Ak'Anon	55338	Fireworks_Engineer_Fabdabus	12	1	1	NULL	1	Warrior
akanon	Ak'Anon	55012	a_rock_spider	38	1	2	NULL	22	Warrior
akanon	Ak'Anon	55159	Gilipus	12	1	20	NULL	1	Warrior
akanon	Ak'Anon	55158	Priest_of_Discord	1	2	50	NULL	1	Cleric
akanon	Ak'Anon	55151	Zapho_the_Ancient	12	13	61	NULL	1	Magician
akanon	Ak'Anon	55153	Golsodix_Biroboddle	12	1	61	NULL	1	Warrior
akanon	Ak'Anon	55019	Tamno_Shifa	12	63	65	NULL	1	Class 63
akanon	Ak'Anon	55156	Flapti_Bizttrin	12	1	65	NULL	1	Warrior
akanon	Ak'Anon	55335	Santug_Claugg	10	1	70	NULL	1	Warrior
akanon	Ak'Anon	55152	Soulbinder_Toglonoit	12	1	65	Beta Neutral	1	Warrior
akanon	Ak'Anon	55035	clockwork_scrubber	36	1	4	Clockworks of Ak`Anon	21	Warrior
akanon	Ak'Anon	55010	clockwork_scrubber	36	1	5	Clockworks of Ak`Anon	21	Warrior
akanon	Ak'Anon	55001	clockwork_scrubber	36	1	6	Clockworks of Ak`Anon	21	Warrior
akanon	Ak'Anon	55009	clockwork_sweeper	36	1	15	Clockworks of Ak`Anon	21	Warrior
akanon	Ak'Anon	55007	a_decaying_gnome_skeleton	367	1	1	Dark Reflection	3	Warrior
akanon	Ak'Anon	55223	Kozyn_Gigglephizz	12	12	32	Dark Reflection	1	Wizard
akanon	Ak'Anon	55164	Kozyn_Gigglephizz	12	12	34	Dark Reflection	1	Wizard
akanon	Ak'Anon	55022	Glerbella_Gibblix	12	2	35	Dark Reflection	1	Cleric
akanon	Ak'Anon	55026	Tilkzog_Mournunder	12	11	35	Dark Reflection	1	Necromancer
akanon	Ak'Anon	55025	Windlebeck_Tobokog	12	1	35	Dark Reflection	1	Warrior
akanon	Ak'Anon	55024	Mimtia_Zethkog	12	1	35	Dark Reflection	1	Warrior
akanon	Ak'Anon	55023	Rebbie_Romblerum	12	9	35	Dark Reflection	1	Rogue
akanon	Ak'Anon	55006	Silox_Azrix	12	2	60	Dark Reflection	1	Cleric
akanon	Ak'Anon	55126	Eonis_Mournunder	12	30	61	Dark Reflection	1	Class 30
akanon	Ak'Anon	55119	Velena_Corgtec	12	31	61	Dark Reflection	1	Class 31
akanon	Ak'Anon	55121	Rilgor_Plegnog	12	33	61	Dark Reflection	1	Class 33
akanon	Ak'Anon	55122	Kaxon_Frennor	12	28	61	Dark Reflection	1	Class 28
akanon	Ak'Anon	55124	Evah_Xokez	12	21	61	Dark Reflection	1	Cleric (NPC)
akanon	Ak'Anon	55125	Dewis_Caneal	12	30	61	Dark Reflection	1	Class 30
akanon	Ak'Anon	55145	Garret_Zethkog	12	24	61	Dark Reflection	1	Class 24
akanon	Ak'Anon	55020	Derthix_Gibblix	12	21	61	Dark Reflection	1	Cleric (NPC)
akanon	Ak'Anon	55123	Vaenor_Husga	12	32	61	Dark Reflection	1	Class 32
akanon	Ak'Anon	55120	Naygog_Mitope	12	20	61	Dark Reflection	1	Warrior (NPC)
akanon	Ak'Anon	55157	Drigaz_Grumblegrowl	48	2	34	Deepmuses	1	Cleric
akanon	Ak'Anon	55089	a_clockwork_torturer	88	9	40	Deepmuses	1	Rogue
akanon	Ak'Anon	55127	Lobal_Postugger	12	28	61	Deepmuses	1	Class 28
akanon	Ak'Anon	55138	Digetha_Chogaller	12	21	61	Deepmuses	1	Cleric (NPC)
akanon	Ak'Anon	55139	Iony_Gredlong	12	21	61	Deepmuses	1	Cleric (NPC)
akanon	Ak'Anon	55146	Lewis_Reldnok	12	22	61	Deepmuses	1	Class 22
akanon	Ak'Anon	55128	Welno_Tanlonikan	12	28	70	Deepmuses	1	Class 28
akanon	Ak'Anon	55339	Reuben_Reldnok	12	22	70	Deepmuses	1	Class 22
akanon	Ak'Anon	55340	Morlan_Tanlonikan	12	28	70	Deepmuses	1	Class 28
akanon	Ak'Anon	55225	obsolete_model	88	1	1	Defective Clockwork	1	Warrior
akanon	Ak'Anon	55174	obsolete_model	88	1	1	Defective Clockwork	1	Warrior
akanon	Ak'Anon	55168	obsolete_model	36	1	2	Defective Clockwork	21	Warrior
akanon	Ak'Anon	55034	obsolete_model	88	1	3	Defective Clockwork	1	Warrior
akanon	Ak'Anon	55160	obsolete_model	88	1	3	Defective Clockwork	1	Warrior
akanon	Ak'Anon	55162	obsolete_model	36	1	3	Defective Clockwork	21	Warrior
akanon	Ak'Anon	55056	Larkon_Theardor	12	32	61	Eldritch Collective	1	Class 32
akanon	Ak'Anon	55129	Useah_Harnbock	12	31	61	Eldritch Collective	1	Class 31
akanon	Ak'Anon	55131	Nonnie_Texaker	12	33	61	Eldritch Collective	1	Class 33
akanon	Ak'Anon	55134	Wuggan_Azusphere	12	32	61	Eldritch Collective	1	Class 32
akanon	Ak'Anon	55130	Tobon_Starpyre	12	31	61	Eldritch Collective	1	Class 31
