Warning: World-writable config file '/etc/mysql/conf.d/my.cnf' is ignored
id	name	level	hp	mindmg	maxdmg	min_respawn	max_respawn	zones
20054	#Coercer_Q`ioul	58	18000	61	178	10800	10800	kithicor
20055	#Advisor_C`zatl	55	20000	58	169	10800	10800	kithicor
20061	#Brigadier_G`tav	58	27000	61	178	10800	10800	kithicor
20062	#Ioltos_V`ghera	54	12000	58	166	10800	10800	kithicor
20063	#Tasi_V`ghera	56	16000	59	172	10830	10830	kithicor
20064	#War_Priestess_T`zan	59	17000	62	181	10800	10800	kithicor
32040	Lord_Nagafen	55	32000	85	218	194400	194400	soldungb
39115	#Guardian_of_the_Seal	70	124000	300	900	156240	156240	hole
48041	#a_Thul_Tae_Ew_High_Priest	60	50000	89	241	194400	194400	cazicthule
64001	Phinigel_Autropos	53	18000	61	156	32400	32400	kedge
71012	The_Spiroc_Lord	63	32000	135	363	10800	10800	airplane
71021	Gorgalosk	60	29000	107	392	10830	10830	airplane
71032	a_thunder_spirit_princess	53	20000	86	276	10800	10800	airplane
71034	Overseer_of_Air	63	32000	260	830	NULL	NULL	NULL
71057	Noble_Dojorn	60	32000	98	326	194400	194400	airplane
71059	Protector_of_Sky	55	21400	88	316	NULL	NULL	NULL
71060	the_Hand_of_Veeshan	63	32000	140	900	NULL	NULL	NULL
71065	Eye_of_Veeshan	70	32000	87	201	21600	21600	airplane
71071	an_essence_tamer	56	11500	68	264	NULL	NULL	NULL
71072	Bazzt_Zzzt	63	32000	295	941	NULL	NULL	NULL
71075	Keeper_of_Souls	60	32000	168	453	NULL	NULL	NULL
71076	#Sister_of_the_Spire	63	17000	59	192	NULL	NULL	NULL
72000	Dread	55	32500	168	453	194400	194400	fearplane
72001	Wraith_of_a_Shissar	55	25000	71	295	210924	210924	fearplane
72002	Terror	55	32500	168	453	194400	194400	fearplane
72003	Cazic_Thule	70	451000	223	603	259200	259200	fearplane
72004	Fright	55	32500	168	453	194400	194400	fearplane
72012	#The_Tempest_Reaver	55	35000	74	150	32400	32400	fearplane
72069	Ireblind_Imp	60	139500	62	252	NULL	NULL	NULL
72090	a_dracoliche	58	175000	177	595	194400	194400	fearplane
72106	an_enraged_golem	65	175000	210	400	NULL	NULL	NULL
72108	Enraged_Imp	60	25000	100	440	NULL	NULL	NULL
73057	Lady_Vox	55	32000	85	218	194400	194400	permafrost
76007	Innoruuk	55	33349	260	379	194400	194400	hateplane
76011	Maestro_of_Rancor	53	16228	160	254	194400	194400	hateplane
76015	Hand_of_the_Maestro	51	10870	120	304	194400	194400	hateplane
76017	Grandmaster_R`Tal	58	29305	133	336	1440	1440	hateplane
76018	Corrupter_of_Life	60	21000	360	504	1440	1440	hateplane
76042	High_Priest_M`kari	58	29305	81	228	1440	1440	hateplane
